"speaker","count","total","rate"
"S0001",6,3000,0.002
"S0002",21,8535,0.00246045694200351
"S0003",8,1893,0.00422609614368727
"S0004",1,3634,0.000275178866263071
"S0005",3,1449,0.0020703933747412
"S0006",1,4804,0.000208159866777685
"S0007",6,11276,0.000532103582830791
"S0008",101,139888,0.000722006176369667
"S0009",0,533,0
"S0010",7,3105,0.00225442834138486
"S0011",0,473,0
"S0012",69,277953,0.000248243408058197
"S0013",163,127773,0.00127569987399529
"S0014",15,5487,0.00273373428102788
"S0015",21,29651,0.000708239182489629
"S0016",1,605,0.00165289256198347
"S0017",4,7377,0.000542225837061136
"S0018",183,107906,0.00169592052341853
"S0019",19,23328,0.000814471879286694
"S0020",1,885,0.00112994350282486
"S0021",21,8209,0.00255816786453892
"S0022",4,7163,0.000558425240820885
"S0023",12,6704,0.00178997613365155
"S0024",127,181562,0.000699485575175422
"S0025",8,5618,0.00142399430402278
"S0026",39,13449,0.00289984385456168
"S0027",2,1856,0.00107758620689655
"S0028",1,417,0.00239808153477218
"S0029",0,304,0
"S0030",20,2622,0.007627765064836
"S0031",0,928,0
"S0032",8,6867,0.00116499199068006
"S0033",1,6499,0.000153869826127096
"S0034",14,4974,0.00281463610776035
"S0035",9,2101,0.0042836744407425
"S0036",16,11169,0.0014325364849136
"S0037",112,108664,0.00103070013988073
"S0038",12,6147,0.00195217179111762
"S0039",0,228,0
"S0040",3,4154,0.000722195474241695
"S0041",314,208025,0.00150943396226415
"S0042",0,372,0
"S0043",2,2453,0.000815328169588259
"S0044",1,829,0.00120627261761158
"S0045",2,228,0.0087719298245614
"S0046",18,17404,0.00103424500114916
"S0047",14,9570,0.00146290491118077
"S0048",0,541,0
"S0049",5,14159,0.000353132283353344
"S0050",5,7233,0.000691276095672612
"S0051",0,624,0
"S0052",4,2223,0.00179937022042285
"S0053",0,117,0
"S0054",12,5753,0.00208586824265601
"S0055",0,1312,0
"S0056",3,1108,0.00270758122743682
"S0057",7,4034,0.00173525037183937
"S0058",331,144725,0.00228709621696321
"S0059",0,1066,0
"S0060",24,15944,0.00150526843953838
"S0061",1,982,0.0010183299389002
"S0062",8,2588,0.00309119010819165
"S0063",2,2682,0.000745712155108128
"S0064",3,1387,0.00216294160057678
"S0065",4,2176,0.00183823529411765
"S0066",0,28,0
"S0067",0,621,0
"S0068",0,2250,0
"S0069",1,574,0.00174216027874564
"S0070",12,18168,0.000660501981505945
"S0071",1,1301,0.000768639508070715
"S0072",2,2618,0.000763941940412529
"S0073",10,6934,0.0014421690222094
"S0074",9,8582,0.00104870659519925
"S0075",9,2610,0.00344827586206897
"S0076",3,1353,0.00221729490022173
"S0077",0,867,0
"S0078",3,3389,0.000885216878135143
"S0079",6,1215,0.00493827160493827
"S0080",2,1079,0.00185356811862836
"S0081",1,1740,0.000574712643678161
"S0082",29,22995,0.00126114372689715
"S0083",76,44214,0.00171891256163206
"S0084",533,276558,0.00192726299727363
"S0085",2,2835,0.000705467372134039
"S0086",108,49319,0.00218982542225106
"S0087",1,1393,0.000717875089734386
"S0088",2,1738,0.00115074798619102
"S0089",0,1653,0
"S0090",0,1975,0
"S0091",1,2084,0.000479846449136276
"S0092",2,11098,0.000180212650928095
"S0093",55,14482,0.00379781798094186
"S0094",20,10851,0.00184314809694959
"S0095",4,4800,0.000833333333333333
"S0096",5,2261,0.00221141088014153
"S0097",5,4159,0.00120221207020918
"S0098",4,808,0.00495049504950495
"S0099",3,861,0.00348432055749129
"S0100",2,1135,0.00176211453744493
"S0101",0,1254,0
"S0102",0,968,0
"S0103",1,7029,0.000142267747901551
